cell_id,Area,Channel,IntDen,RawIntDen,time,condition,repeat_exp,mock_bg_den,sub_RawIntDen,sm_mean_int,RNA_count,ImgeJ_cal_factor
CoV-FISH-06B_R1_24h_INF_00003_20,859.614,ORFN,2228770.213,191609902,24,Untreated,R1,11068.976472595466,182094854.85848632,5448.466666666666,1169745.601829326,35
CoV-FISH-06B_R1_24h_INF_00003_22,791.673,ORFN,2479237.83,213142887,24,Untreated,R1,11068.976472595466,204379877.18901092,5448.466666666666,1312900.7001875846,35
CoV-FISH-06B_R1_24h_INF_00003_24,1272.369,ORFN,11909851.639,1023903448,24,Untreated,R1,11068.976472595466,1009819625.4745402,5448.466666666666,6486905.225618629,35
CoV-FISH-06B_R1_24h_INF_00003_26,1017.853,ORFN,387275.374,33294503,24,Untreated,R1,11068.976472595466,22027912.09043929,5448.466666666666,141503.46699965285,35
CoV-FISH-06B_R1_24h_INF_00004_7,1009.257,gRNA,175989.153,15129987,24,Untreated,R1,14383.340982982052,613499.4295384847,5186.933333333333,4139.725470511856,35
CoV-FISH-06B_R1_24h_INF_00004_9,734.223,gRNA,126260.636,10854770,24,Untreated,R1,14383.340982982052,294190.2334519699,5186.933333333333,1985.1148085224952,35
CoV-FISH-06B_R1_24h_INF_00004_13,156.657,gRNA,26755.248,2300179,24,Untreated,R1,14383.340982982052,46927.95162898069,5186.933333333333,316.65691487860346,35
CoV-FISH-06B_R1_24h_INF_00004_15,427.574,gRNA,6677516.767,574073687,24,Untreated,R1,14383.340982982052,567923744.3625424,5186.933333333333,3832193.277856341,35
CoV-FISH-06B_R1_24h_INF_00004_17,518.22,gRNA,406927.215,34983994,24,Untreated,R1,14383.340982982052,27530259.03579904,5186.933333333333,185766.61860308592,35
CoV-FISH-06B_R1_24h_INF_00004_19,190.925,gRNA,1384778.097,119050943,24,Untreated,R1,14383.340982982052,116304803.62282416,5186.933333333333,784792.8371546795,35
CoV-FISH-06B_R1_24h_INF_00004_21,972.896,gRNA,727361.444,62532088,24,Untreated,R1,14383.340982982052,48538593.091020696,5186.933333333333,327525.0806229225,35
CoV-FISH-06B_R1_24h_INF_00004_23,571.587,gRNA,351357.435,30206597,24,Untreated,R1,14383.340982982052,21985266.27756024,5186.933333333333,148350.5320512972,35
CoV-FISH-06B_R1_24h_INF_00004_25,281.943,gRNA,1680994.477,144517001,24,Untreated,R1,14383.340982982052,140461718.6932351,5186.933333333333,947797.0581711537,35
CoV-FISH-06B_R1_24h_INF_00004_27,382.535,gRNA,83401.18,7170094,24,Untreated,R1,14383.340982982052,1667962.65707496,5186.933333333333,11254.95340810696,35
CoV-FISH-06B_R1_24h_INF_00004_29,213.99,gRNA,925279.69,79547344,24,Untreated,R1,14383.340982982052,76469452.86305167,5186.933333333333,515994.8428500093,35
CoV-FISH-06B_R1_24h_INF_00004_1,662.141,ORFN,97167.115,8353567,24,Untreated,R1,11068.976472595466,1024343.8494591656,5448.466666666666,6580.2063083933335,35
CoV-FISH-06B_R1_24h_INF_00004_3,726.511,ORFN,98695.244,8484942,24,Untreated,R1,11068.976472595466,443208.8339181952,5448.466666666666,2847.0962816089236,35
CoV-FISH-06B_R1_24h_INF_00004_7,1009.257,ORFN,290226.358,24951089,24,Untreated,R1,11068.976472595466,13779647.012197718,5448.466666666666,88518.05011078104,35
CoV-FISH-06B_R1_24h_INF_00004_9,734.223,ORFN,127130.486,10929552,24,Untreated,R1,11068.976472595466,2802454.8873615395,5448.466666666666,18002.481626204415,35
CoV-FISH-06B_R1_24h_INF_00004_11,201.172,ORFN,36599.11,3146467,24,Untreated,R1,11068.976472595466,919698.8650550246,5448.466666666666,5907.985172022563,35
CoV-FISH-06B_R1_24h_INF_00004_13,156.657,ORFN,30411.091,2614476,24,Untreated,R1,11068.976472595466,880443.3527326118,5448.466666666666,5655.814604532421,35
CoV-FISH-06B_R1_24h_INF_00004_15,427.574,ORFN,16276532.381,1399311942,24,Untreated,R1,11068.976472595466,1394579135.4537065,5448.466666666666,8958533.240094412,35
CoV-FISH-06B_R1_24h_INF_00004_17,518.22,ORFN,1327411.482,114119070,24,Untreated,R1,11068.976472595466,108382905.01237155,5448.466666666666,696232.8867020088,35
CoV-FISH-06B_R1_24h_INF_00004_19,190.925,ORFN,4399179.673,378202464,24,Untreated,R1,11068.976472595466,376089119.6669697,5448.466666666666,2415930.938675825,35
CoV-FISH-06B_R1_24h_INF_00004_21,972.896,ORFN,3019622.956,259600409,24,Untreated,R1,11068.976472595466,248831446.06571776,5448.466666666666,1598449.829120142,35
CoV-FISH-06B_R1_24h_INF_00004_23,571.587,ORFN,1406035.523,120878468,24,Untreated,R1,11068.976472595466,114551584.94495855,5448.466666666666,735859.4111628133,35
CoV-FISH-06B_R1_24h_INF_00004_25,281.943,ORFN,4492089.359,386190015,24,Untreated,R1,11068.976472595466,383069194.566387,5448.466666666666,2460769.72294778,35
CoV-FISH-06B_R1_24h_INF_00004_27,382.535,ORFN,122554.287,10536131,24,Untreated,R1,11068.976472595466,6301860.085055693,5448.466666666666,40482.0505421004,35
CoV-FISH-06B_R1_24h_INF_00004_29,213.99,ORFN,4845494.097,416572621,24,Untreated,R1,11068.976472595466,414203970.7246293,5448.466666666666,2660774.097060095,35
CoV-FISH-06B_R1_24h_INF_00005_7,340.172,gRNA,147661.005,12694584,24,Untreated,R1,14383.340982982052,7801774.131137029,5186.933333333333,52644.22676015295,35
CoV-FISH-06B_R1_24h_INF_00005_9,567.981,gRNA,133892.058,11510852,24,Untreated,R1,14383.340982982052,3341387.6051448714,5186.933333333333,22546.764854005673,35
CoV-FISH-06B_R1_24h_INF_00005_11,1059.146,gRNA,2592079.263,222843993,24,Untreated,R1,14383.340982982052,207609934.9312385,5186.933333333333,1400894.7591242122,35
CoV-FISH-06B_R1_24h_INF_00005_13,652.196,gRNA,1227786.088,105554162,24,Untreated,R1,14383.340982982052,96173404.54426304,5186.933333333333,648951.691246441,35
CoV-FISH-06B_R1_24h_INF_00005_15,720.637,gRNA,557562.323,47934265,24,Untreated,R1,14383.340982982052,37569097.304046765,5186.933333333333,253505.9390857096,35
CoV-FISH-06B_R1_24h_INF_00005_17,552.383,gRNA,711365.005,61156856,24,Untreated,R1,14383.340982982052,53211742.95779742,5186.933333333333,359058.21105397725,35
CoV-FISH-06B_R1_24h_INF_00005_19,982.469,gRNA,1203448.152,103461802,24,Untreated,R1,14383.340982982052,89330615.36779061,5186.933333333333,602778.4312900373,35
CoV-FISH-06B_R1_24h_INF_00005_21,1191.865,gRNA,4914274.776,422485774,24,Untreated,R1,14383.340982982052,405342773.2993181,5186.933333333333,2735141.586321295,35
CoV-FISH-06B_R1_24h_INF_00005_23,620.708,gRNA,1632187.607,140321019,24,Untreated,R1,14383.340982982052,131393164.18513516,5186.933333333333,886604.9457251035,35
CoV-FISH-06B_R1_24h_INF_00005_27,696.176,gRNA,1023435.579,87985917,24,Untreated,R1,14383.340982982052,77972580.20783149,5186.933333333333,526137.5328917733,35
CoV-FISH-06B_R1_24h_INF_00005_29,704.388,gRNA,652098.519,56061649,24,Untreated,R1,14383.340982982052,45930196.211679235,5186.933333333333,309924.33565281477,35
CoV-FISH-06B_R1_24h_INF_00005_31,256.854,gRNA,1432051.756,123115113,24,Untreated,R1,14383.340982982052,119420694.33515713,5186.933333333333,805818.0109757531,35
CoV-FISH-06B_R1_24h_INF_00005_33,959.473,gRNA,624885.862,53722146,24,Untreated,R1,14383.340982982052,39921718.677035265,5186.933333333333,269380.7812637334,35
CoV-FISH-06B_R1_24h_INF_00005_37,835.687,gRNA,483484.784,41565735,24,Untreated,R1,14383.340982982052,29545763.923954677,5186.933333333333,199366.69143072597,35
CoV-FISH-06B_R1_24h_INF_00005_39,1589.906,gRNA,1371268.423,117889501,24,Untreated,R1,14383.340982982052,95021340.87111096,5186.933333333333,641177.8823368112,35
CoV-FISH-06B_R1_24h_INF_00005_1,272.336,ORFN,40703.814,3499353,24,Untreated,R1,11068.976472595466,484872.2233592407,5448.466666666666,3114.734631928266,35
CoV-FISH-06B_R1_24h_INF_00005_3,818.123,ORFN,155597.18,13376866,24,Untreated,R1,11068.976472595466,4321081.761310779,5448.466666666666,27757.875912344258,35
CoV-FISH-06B_R1_24h_INF_00005_5,384.048,ORFN,56285.497,4838928,24,Untreated,R1,11068.976472595466,587909.7236526562,5448.466666666666,3776.629570614907,35
CoV-FISH-06B_R1_24h_INF_00005_7,340.172,ORFN,297557.9,25581390,24,Untreated,R1,11068.976472595466,21816034.135364253,5448.466666666666,140142.39995431417,35
CoV-FISH-06B_R1_24h_INF_00005_9,567.981,ORFN,351228.263,30195492,24,Untreated,R1,11068.976472595466,23908523.674118754,5448.466666666666,153584.18795394848,35
CoV-FISH-06B_R1_24h_INF_00005_11,1059.146,ORFN,7417924.346,637727366,24,Untreated,R1,11068.976472595466,626003703.8449564,5448.466666666666,4021338.658198663,35
CoV-FISH-06B_R1_24h_INF_00005_13,652.196,ORFN,3426808.723,294606631,24,Untreated,R1,11068.976472595466,287387488.82047915,5448.466666666666,1846127.1260507735,35
CoV-FISH-06B_R1_24h_INF_00005_15,720.637,ORFN,2076957.012,178558349,24,Untreated,R1,11068.976472595466,170581635.00171822,5448.466666666666,1095786.6846440232,35
CoV-FISH-06B_R1_24h_INF_00005_17,552.383,ORFN,1739840.95,149576099,24,Untreated,R1,11068.976472595466,143461784.5691383,5448.466666666666,921573.4934452212,35
CoV-FISH-06B_R1_24h_INF_00005_19,982.469,ORFN,3920063.554,337012308,24,Untreated,R1,11068.976472595466,326137381.7539456,5448.466666666666,2095049.6827342424,35
CoV-FISH-06B_R1_24h_INF_00005_21,1191.865,ORFN,14886199.361,1279783436,24,Untreated,R1,11068.976472595466,1266590710.35649,5448.466666666666,8136357.910325318,35
